# direction, average_speed, probability
0.000000000000000000e+00 7.443989372765817514e+00 1.178129090726009499e-02
5.000000000000000000e+00 7.037473467697797247e+00 1.099587151344275440e-02
1.000000000000000000e+01 7.098204875283014026e+00 9.606283355150539369e-03
1.500000000000000000e+01 6.975827202579733211e+00 1.212365320712919213e-02
2.000000000000000000e+01 7.099063879774560881e+00 1.047225858423119459e-02
2.500000000000000000e+01 6.793840398569997774e+00 1.006947940791461105e-02
3.000000000000000000e+01 6.613868624428271836e+00 9.686839190413855730e-03
3.500000000000000000e+01 6.887240030040243433e+00 1.000906253146712291e-02
4.000000000000000000e+01 7.280119386040773577e+00 1.037156379015205000e-02
4.500000000000000000e+01 7.361887161929981716e+00 1.121740006041687700e-02
5.000000000000000000e+01 8.711165432347877768e+00 1.522505286476689111e-02
5.500000000000000000e+01 8.487120544890457197e+00 1.562783204108347465e-02
6.000000000000000000e+01 8.292666171934786945e+00 1.574866579397845093e-02
6.500000000000000000e+01 8.201185831179456542e+00 1.705769811700735133e-02
7.000000000000000000e+01 8.373684353408945569e+00 1.935353942201188324e-02
7.500000000000000000e+01 7.581321273563128571e+00 1.419796596515960144e-02
8.000000000000000000e+01 7.220830604679464138e+00 1.206323633068170399e-02
8.500000000000000000e+01 6.843751211396981837e+00 1.202295841305004581e-02
9.000000000000000000e+01 6.971049344118904756e+00 1.321115698318396994e-02
9.500000000000000000e+01 7.002524339758943839e+00 1.746047729332393661e-02
1.000000000000000000e+02 6.413119393145527702e+00 1.729936562279730042e-02
1.050000000000000000e+02 5.275072132632170785e+00 1.439935555331789407e-02
1.100000000000000000e+02 5.768902039588225783e+00 7.874332896989225464e-03
1.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+02 0.000000000000000000e+00 2.013895881582922239e-05
1.250000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+02 6.599693305235294183e+00 3.423622998690967569e-04
1.350000000000000000e+02 6.616581240762715588e+00 3.564595710401772394e-03
1.400000000000000000e+02 6.647338295302516187e+00 7.189608297251032058e-03
1.450000000000000000e+02 7.472358052240274162e+00 8.800725002517370554e-03
1.500000000000000000e+02 8.618059180445825973e+00 1.135837277212768150e-02
1.550000000000000000e+02 8.759846978365571246e+00 1.415768804752794326e-02
1.600000000000000000e+02 9.677066728256948025e+00 1.669519685832242598e-02
1.650000000000000000e+02 9.323521917193836828e+00 1.631255664082166892e-02
1.700000000000000000e+02 9.216675349128450989e+00 1.317087906555231176e-02
1.750000000000000000e+02 8.719007778913285378e+00 1.091531567817943804e-02
1.800000000000000000e+02 8.817304334084926865e+00 9.485449602255563092e-03
1.850000000000000000e+02 8.887524347760965782e+00 1.010975732554626923e-02
1.900000000000000000e+02 9.492215428301701508e+00 1.188198570133924131e-02
1.950000000000000000e+02 9.934646503111826732e+00 1.260698821870909203e-02
2.000000000000000000e+02 1.084229158881114330e+01 1.588963850568925543e-02
2.050000000000000000e+02 1.106679327602730112e+01 1.770214479911388569e-02
2.100000000000000000e+02 1.061125577114793828e+01 2.042090423925083109e-02
2.150000000000000000e+02 1.092747238717757163e+01 2.279730137951867935e-02
2.200000000000000000e+02 1.128913549145671169e+01 2.954385258282146709e-02
2.250000000000000000e+02 1.060262813772340884e+01 3.028899405900714950e-02
2.300000000000000000e+02 1.045290065497462351e+01 2.698620481321115788e-02
2.350000000000000000e+02 9.735850631582730230e+00 2.215285469741214500e-02
2.400000000000000000e+02 9.058025175439807342e+00 2.124660155069982986e-02
2.450000000000000000e+02 8.783981653725767558e+00 1.828617460477293191e-02
2.500000000000000000e+02 8.593467905562416576e+00 1.661464102305910615e-02
2.550000000000000000e+02 8.736410238545547102e+00 1.901117712214278610e-02
2.600000000000000000e+02 8.251111368880540198e+00 1.905145503977444255e-02
2.650000000000000000e+02 7.924095405453314811e+00 1.639311247608498529e-02
2.700000000000000000e+02 7.742623908089139917e+00 1.762158896385056933e-02
2.750000000000000000e+02 7.888630724347134304e+00 1.653408518779578978e-02
2.800000000000000000e+02 7.862056793378839892e+00 1.445977242976538048e-02
2.850000000000000000e+02 7.909226766898133754e+00 1.403685429463296698e-02
2.900000000000000000e+02 8.624877191489668249e+00 1.657436310542744970e-02
2.950000000000000000e+02 8.410354617807987765e+00 1.562783204108347465e-02
3.000000000000000000e+02 8.220820932359574229e+00 1.534588661766186739e-02
3.050000000000000000e+02 8.321741539102298191e+00 1.752089416977142128e-02
3.100000000000000000e+02 8.430233322798232010e+00 1.597019434095257179e-02
3.150000000000000000e+02 8.580956434400002664e+00 1.510421911187191657e-02
3.200000000000000000e+02 8.848850793045777152e+00 1.452018930621286862e-02
3.250000000000000000e+02 8.190563105779933295e+00 1.345282448897392076e-02
3.300000000000000000e+02 8.266538227899193458e+00 1.478199577081864939e-02
3.350000000000000000e+02 8.581777873969919312e+00 1.339240761252643262e-02
3.400000000000000000e+02 8.058018314533699211e+00 1.105628838989024254e-02
3.450000000000000000e+02 7.791763321868974579e+00 1.045211962541536636e-02
3.500000000000000000e+02 7.414568224050260170e+00 1.162017923673346054e-02
3.550000000000000000e+02 7.830039408380693011e+00 1.105628838989024254e-02
